NAME,ID,MEANINGS
동백꽃,1,사랑 / 청렴
안개꽃,2,맑은 마음 / 사랑의 성공
코스모스,3,순정
달리아,4,감사
달맞이,5,기다림 / 소원 / 인내
도라지꽃,6,영원한 사랑
목련,7,우애
백합,8,순결 / 순수
사프란,9,후회없는 청춘
수국,10,진심 / 이해해줘서 고마워요
수선화,11,편안히 지내세요
아네모네,12,x
아카시아,13,순결한 사랑
은방울꽃,14,당신은 내삶의 전부
제비꽃,15,사랑(보)/수줍은사랑(노)/순진무구한사랑(흰)
진달래,16,사랑의 기쁨
클레마티스,17,당신의 마음은 진실로 아름다워요
프리지아,18,시작을 응원
아이리스,19,기쁜 소식을 기대해요
해바라기,20,당신만을 사랑합니다 / 기다림
데이지,21,순수 / 천진난만 / 명랑
물망초,22,진실한 사랑 / 날 잊지 마세요
자스민,23,사랑(당신은 나의 것) / 행운을 빌어요
시넨시스,24,영원한 사랑
라일락,25,첫사랑
작약,26,수줍은 사랑
폼폰국화,27,진실 / 성실 / 감사
라넌큘러스,28,매력 / 매혹
라그라스,29,친절함에 감사합니다
리시안셔스,30,사랑
시네신스,31,사랑
라펄장미,32,사랑
스위트피,33,추억 / 즐거움
메리골드,34,반드시 오고야 말 행복
크리스마스 로즈,35,근심을 풀어주세요
용담,36,슬픈 그대가 좋아요
진분홍 장미,37,감사합니다
목화,38,어머니의 사랑
포인세티아,39,뜨거운 마음으로 축하한다
적색안개꽃,40,기쁨의 순간
팜파스그라스,41,자랑스러워요
천일홍,42,변치 않는 사랑
카라,43,천년의 사랑/열정
바이올렛,44,영원한 우정
토끼풀,45,행운
파란 장미,46,기적 / 희망
라일락,47,우정 / 우애
스타티스,48,영원한 사랑
매발톱꽃,49,감사 / 결백 / 솔직
아도니스,50,추억 / 영원한 행복
오이풀,51,존경 / 변화 / 애모
노란 장미,52,완벽한 성취 / 우정
빨간 튤립,53,사랑고백
보라튤립,54,영원한 사랑
노란 튤립,55,사랑의 표시
흰색 튤립,56,용서 /사과
보라 수국,57,진심
당아욱,58,은혜
칼세올라리아,59,도움
카네이션,60,감사 / 모정
아마,61,감사
알스트로메리아,62,우정
수수꽃다리,63,우애
분홍 튤립,64,우정
주황 장미,65,축하
