ID,STATE,FLOWER,RED,WHITE,BLUE,YELLOW,PURPLE,ORANGE
100,친구,N,,,,,,
110,감사,N,,,,,,
111,서프라이즈,,"28,33","7,27,29",,4,"10,17",
112,기념일,,33,"7,27,29",,4,"10,17",
120,축하,N,,,,,,
121,서프라이즈,,"28,33",7,,,,
122,기념일,,33,7,,,,
123,입학식,,33,21,,,9,
124,졸업식,,33,11,,,9,
125,생일,,28,"7,21",,,9,
126,공연/전시,,"28,33",,,,"9,17",
127,취직/개업,,28,,,34,9,
130,응원,N,,,,,,
131,서프라이즈,,"28,33",7,,"5,34","9,17,19",18
132,기념일,,33,7,,"5,34","9,17",18
133,입학식,,33,21,,34,"9,19",18
134,졸업식,,33,11,,34,"9,19",18
136,공연/전시,,"28,33",,,34,"9,17",
137,취직/개업,,28,,,34,"9,19",18
150,이벤트,N,,,,,,
151,서프라이즈,,"28,33","7,8,21",,34,"9,17",
152,기념일,,33,"7,8,21",,34,"9,17",
153,입학식,,33,21,,34,"9,19",18
154,졸업식,,33,,,34,"9,19",18
155,생일,,"28,33","7,8,21",,34,"9,17",
156,공연/전시,,"28,33",,,34,"9,17,19",18
157,취직/개업,,28,,,34,"9,19",
200,연인,N,,,,,,
210,감사,N,,,,,,
211,서프라이즈,,"1,24,28","2,14,27,29",,"4,20","6,10",
212,기념일,,"1,24,33","14,27,29",,"4,20","6,10",
220,축하,N,,,,,,
221,서프라이즈,,"1,24",2,,,17,
223,입학식,,"1,24,33",,,34,19,18
224,졸업식,,"1,33",,,34,19,18
225,생일,,1,,,20,6,
226,공연/전시,,"1,28",23,,"20,34",17,18
227,취직/개업,,"1,28",,,34,"17,19",18
230,응원,N,,,,,,
231,서프라이즈,,28,2,,5,17,
233,입학식,,33,,,34,19,18
234,졸업식,,33,,,34,19,18
236,공연/전시,,"28,33",23,,20,17,18
237,취직/개업,,28,,,34,19,18
240,사랑,N,,,,,,
241,서프라이즈,,"1,3,16,24,30","2,13,14,23,26,31,32",,20,"6,15,17,22,24,25",
242,기념일,,"1,3,16,24,30","2,13,14,23,26,31,32",,20,"6,15,17,22,24,25",
243,입학식,,"1,24,33",,,34,"6,19,22",18
244,졸업식,,"1,24,33",,,34,"6,19,22",18
245,생일,,"1,16,24,30","13,23,26,31,32",,20,"6,15,17,22,24,25",
250,이벤트,,,,,,,
251,서프라이즈,,"3,16,24","2,8,13,14,21,23,26",,20,"6,15,17,22,24,25",
252,기념일,,"3,16,24","2,8,13,14,21,23,26",,20,"6,15,17,22,24,25",
253,입학식,,"24,33",,,34,"19,22",18
254,졸업식,,"24,33",,,34,"19,22",18
255,생일,,"3,16,24,28","2,13,23,26",,20,"15,17,22,24",
256,공연/전시,,"24,28,33",23,,20,17,18
257,취직/개업,,28,,,34,19,18
300,부모님,N,,,,,,
310,감사,N,,,,,,
312,기념일,,,29,,4,10,
318,어버이날,,,29,,4,10,
320,축하,N,,,,,,
321,서프라이즈,,,,,,,
322,기념일,,,,,,6,
325,생일,,,,,,,
340,사랑,,1,,,,,
341,서프라이즈,,"1,16",14,,,"6,24",
342,기념일,,"1,16",14,,,"6,24",
345,생일,,"1,16",,,,24,
348,어버이날,,"1,16",,,,24,
350,이벤트,N,,,,,,
351,서프라이즈,,,,,,24,
352,기념일,,,,,,24,
355,생일,,,,,,24,
358,어버이날,,,,,,"10,24",
400,선생님,N,,,,,,
410,감사,N,,,,,,
419,스승의날,,,"27,29",,4,"10,22",
420,축하,N,,,,,,
425,생일,,,,,,22,
450,이벤트,N,,,,,,
455,생일,,,,,,22,
459,생일,,,,,,"10,22",
500,생일,N,,,,,,
520,생일,N,,,,,,
522,기념일,,28,,,34,19,
526,공연/전시,,28,,,34,19,18
530,응원,N,,,,,,
532,기념일,,28,,,"5,34",19,18
536,공연/전시,,28,,,"5,34",19,18
